name,slug,country,whiskybase_whiskies,whiskybase_votes,whiskybase_rating
Burn O'Bennie,burn_o'bennie,Scotland,0,0,0.0
Burnside Distillery,burnside,Scotland,0,0,0.0
Caledonian,caledonian,Scotland,106,1119,87.5
Caledonian Distillery,caledonian,Scotland,0,0,0.0
Cambus,cambus,Scotland,315,3162,86.49
Cameronbridge,cameronbridge,Scotland,409,4288,85.54
Campbeltown Distillery,campbeltown,Scotland,0,0,0.0
Caol Ila,caol_ila,Scotland,6408,90035,86.83
Caperdonich,caperdonich,Scotland,617,10158,87.95
Cardhu,cardhu,Scotland,236,7165,82.34
Carsebridge,carsebridge,Scotland,119,1351,87.73
Chain Pier,chain_pier,Scotland,3,14,85.45
Chichibu,chichibu,Japan,614,8086,88.64
Chita,chita,Japan,46,1296,84.48
Chugoku Jozo,chugoku_jozo,Japan,18,585,80.49
Clutha Distillery,clutha,Scotland,0,0,0.0
Clynelish,clynelish,Scotland,2393,51722,86.94
Coleburn,coleburn,Scotland,105,1336,87.07
Convalmore,convalmore,Scotland,152,2556,87.19
Corry (Broadford),corry_(broadford),Scotland,0,0,0.0
Crafty Distillery,crafty,Scotland,0,0,0.0
Cragganmore,cragganmore,Scotland,779,10851,85.32
Craigellachie,craigellachie,Scotland,1490,16076,85.05
Daftmill,daftmill,Scotland,58,3700,88.02
Daftmill Distillery,daftmill,Scotland,4,271,88.4
Daill,daill,Scotland,0,0,0.0
Dailuaine,dailuaine,Scotland,1300,16317,85.43
Dalaruan Distillery,dalaruan,Scotland,6,10,78.34
Dalintober Distillery,dalintober,Scotland,0,0,0.0
Dallas Dhu,dallas_dhu,Scotland,371,3026,87.94
Dalmore,dalmore,Scotland,1006,17581,85.53
Dalmunach,dalmunach,Scotland,105,924,85.1
Dalwhinnie,dalwhinnie,Scotland,222,8063,83.71
Deanston,deanston,Scotland,650,19360,85.42
Dornoch,dornoch,Scotland,1,0,0.0
Dornoch Distillery,dornoch,Scotland,67,855,85.86
Drumore Distillery,drumore,Scotland,0,0,0.0
Dufftown,dufftown,Scotland,536,7257,84.36
Dumbarton,dumbarton,Scotland,133,1118,86.16
Dundashill,dundashill,Scotland,1,0,0.0
Eden Mill,eden_mill,Scotland,48,384,83.0
Edradour,edradour,Scotland,1792,29324,84.96
Eigashima Shuzo,eigashima_shuzo,Japan,162,1279,82.89
Falkirk Distillery Company,falkirk__company,Scotland,3,10,80.78
Favorland,favorland,Taiwan,11,5,79.2
Fettercairn,fettercairn,Scotland,785,9529,84.47
Fuji Gotemba,fuji_gotemba,Japan,109,553,84.57
Fuji Hokuroku,fuji_hokuroku,Japan,1,0,0.0
Fukano Distillery,fukano,Japan,13,7,81.93
Garnheath,garnheath,Scotland,39,418,86.81
Gartbreck Distillery,gartbreck,Scotland,0,0,0.0
Girvan,girvan,Scotland,335,3100,84.65
Glen Albyn,glen_albyn,Scotland,200,1820,87.76
Glenallachie,glenallachie,Scotland,1372,33011,85.96
Glenburgie,glenburgie,Scotland,1018,14062,86.29
Glencadam,glencadam,Scotland,576,9619,85.64
Glendronach,glendronach,Scotland,1768,78155,88.07
Glendullan,glendullan,Scotland,368,5048,84.24
Glen Elgin,glen_elgin,Scotland,893,14259,86.18
Glenesk,glenesk,Scotland,105,1507,87.1
Glenfarclas,glenfarclas,Scotland,2737,60726,87.73
Glenfiddich,glenfiddich,Scotland,1522,32186,84.67
Glen Flagler,glen_flagler,Scotland,45,398,83.96
Glenfoyle,glenfoyle,Scotland,1,0,0.0
Glenfyne (Glendarroch Glenglip),glenfyne_(glendarroch_glenglip),Scotland,1,8,91.33
Glen Garioch,glen_garioch,Scotland,1087,19874,85.9
Glenglassaugh,glenglassaugh,Scotland,693,15990,87.03
Glengoyne,glengoyne,Scotland,1213,29047,86.13
Glen Grant,glen_grant,Scotland,2143,25162,87.15
Glengyle (Kilkerran),kilkerran,Scotland,166,9473,85.71
